cannon+AF8-x,0-Noop,1-Fire,2-Right,3-Left
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,-8.13718,-8.1626,-8.12982,-8.13672
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,0,0,0,0
26,0,0,-0.1,-0.199
27,-0.11,-0.099905,-0.099715,-0.1
28,0,0,0,0
29,-0.11,-0.099905,0,0
30,-0.11,-0.099905,-0.1,-0.198622
31,0,0,0,0
32,0,0,0,0
33,-10.8521,-9.97155,-9.96987,-9.97153
34,0,0,-0.199,-0.1
35,0,-0.199,0,0
36,0,0,0,0
37,0,0,0,0
38,-10.9715,-9.97148,-9.97145,-9.97155
39,-0.939962,0.0274591,0.0284999,0.0277429
40,-0.96707,0.0284948,0.0285001,0.0277089
41,-0.968555,0.027924,0.0285001,0.0284852
42,-0.944624,0.0278375,0.0285001,0.0282158
43,-0.971841,0.0279617,0.0285001,0.0283359
44,-0.944708,0.0277479,0.0285001,0.027758
45,-0.831567,0.0283063,0.0287576,0.0284643
46,-0.971503,0.0284991,0.10023,0.0284995
47,-0.822321,0.0284999,0.0285627,0.0284999
48,-0.971792,0.0281283,0.0986791,0.0432648
49,-0.953783,0.027919,0.0444128,0.0294039
50,-0.905064,0.0302536,0.114274,0.0276357
51,-0.88113,0.0282211,0.0319263,0.029832
52,-0.907776,0.0278392,0.0737192,0.0284225
53,-0.955941,0.0278715,0.0285001,0.0284981
54,-0.951658,0.0275102,0.0285001,0.0276503
55,-0.941645,0.0275405,0.0285001,0.0284859
56,-0.930707,0.0284953,0.0285001,0.027739
57,-0.899262,0.0276127,0.0285349,0.0284465
58,-0.963462,0.0279686,0.0288581,0.0284551
59,-0.891037,0.0284873,0.0285148,0.0284939
60,-0.948272,0.026897,0.0299729,0.0284817
61,-0.967353,0.0284816,0.0286143,0.0283584
62,-0.881746,0.0298595,0.0300805,0.0299051
63,-0.91587,0.0283967,0.0285855,0.0280493
64,-0.946738,0.0281736,0.0298868,0.0285114
65,-0.868016,0.0284448,0.0493155,0.0297654
66,-0.808465,0.0284394,0.110292,0.0293294
67,-0.908148,0.0292149,0.0368874,0.0292399
68,-0.955514,0.0291321,0.0877444,0.0412047
69,-0.939856,0.0284073,0.127625,0.029991
70,-0.903582,0.0291622,0.029216,0.0288002
71,-0.907103,0.0440426,0.0440837,0.0297341
72,-0.813536,0.030423,0.094465,0.0304024
73,-0.942229,0.032266,0.0324197,0.032415
74,-0.969122,0.030557,0.0333134,0.030424
75,-0.945681,0.0283807,0.0375872,0.0295596
76,-0.839288,0.0282531,0.0308945,0.0283252
77,-0.866621,0.0277602,0.0292136,0.0290823
78,-0.971523,0.0284284,0.0313613,0.028113
79,-0.971497,0.0284998,0.0285462,0.0284999
80,-0.971456,0.0284967,0.19047,0.0284995
81,-0.923118,0.0284573,0.0420885,0.0253697
82,-0.932754,0.0289114,0.0298642,0.0261936
83,-0.935902,0.220187,0.0269611,0.0262767
84,-0.930119,0.0277185,0.036289,0.02759
85,-0.780725,0.0262656,0.0285038,0.0270052
86,-0.949516,0.0283268,0.0285003,0.027422
87,-0.939804,0.0282399,0.0902291,0.0237029
88,-0.92755,0.027236,0.0285004,0.0270882
89,-0.939893,0.0267208,0.0310019,0.0284677
90,-0.912818,0.0275286,0.0382161,0.0284554
91,-0.908451,0.0278224,0.0285965,0.0284778
92,-0.940286,0.0285015,0.0285936,0.0253261
93,-0.904092,0.0278697,0.0344782,0.0293873
94,-0.963012,0.0285031,0.121281,0.0779695
95,-0.891733,0.0284487,0.075116,0.0277951
96,-0.94883,0.0311456,0.0540707,0.0229779
97,-0.880069,0.0284747,0.0285029,0.0285006
98,-0.915212,0.0284286,0.0285327,0.0285106
99,-0.882384,0.0278833,0.0285238,0.0285211
100,-0.931143,0.0265175,0.0569908,0.0284462
101,-0.937258,0.0286725,0.178952,0.0287655
102,-0.928606,0.0280277,0.0356261,0.0287485
103,-0.788474,0.029385,0.078429,0.0275744
104,-0.86175,0.0323064,0.0601194,0.0266231
105,-0.919877,0.0333234,0.0537294,0.0332005
106,-0.888344,0.0379093,0.0516823,0.038743
107,-0.86684,0.0285994,0.0286494,0.028648
108,-0.84793,0.0292958,0.0293868,0.0293347
109,-0.964155,0.0283872,0.306316,0.0284617
110,-0.955001,0.0284133,0.028504,0.028139
111,-0.963481,0.0280262,0.0336758,0.028468
112,-0.954359,0.0283383,0.0284999,0.0271052
113,-0.788463,0.0273536,0.0286512,0.028515
114,-0.93472,0.028493,0.0286936,0.0248401
115,-0.902859,0.0282535,0.0285002,0.0282164
116,-0.894035,0.0284942,0.0575584,0.0258554
117,-0.904432,0.028542,0.0285609,0.0262472
118,-0.945247,0.0284958,0.0285001,0.0284918
119,-0.852932,0.0259711,0.0285001,0.0254797
120,-10.9224,-9.97163,-9.97045,-9.97155
121,0,-0.1,-0.1,0
122,-1.72734,-1.65371,-1.65076,-1.65205
123,-0.218805,-0.296821,-0.39404,-0.29682
124,-0.218805,-0.198811,-0.198433,-0.198622
125,-0.326711,-0.296915,-0.29701,-0.29701
126,-0.11,-0.1,-0.198433,-0.198622
127,0,0,0,0
128,0,0,-0.1,0
129,-0.11,-0.1,-0.099715,-0.1
130,-0.11,-0.585198,-0.099715,-0.29701
131,-0.433444,-0.489818,-0.488703,-0.489168
132,-0.433444,-0.393851,-0.488703,-0.393662
133,0,0,0,0
134,0,0,0,0
135,0,0,0,0
136,0,0,0,0
137,0,0,0,0
138,0,0,0,0
139,0,0,0,0
140,0,0,0,0
141,0,0,0,0
142,0,0,0,0
143,0,0,0,0
144,0,0,0,0
145,0,0,0,0
146,0,0,0,0
147,0,0,0,0
148,0,0,0,0
149,0,0,0,0
150,0,0,0,0
151,0,0,0,0
152,0,0,0,0
153,0,0,0,0
154,0,0,0,0
155,0,0,0,0
156,0,0,0,0
157,0,0,0,0
158,0,0,0,0
159,0,0,0,0
